Date,Max Temperature (°C),Min Temperature (°C),Mean Temperature (°C),Avg Relative Humidity (%),Avg Cloud Cover (%),Total Precipitation (mm),Max Wind Speed (m/s),Avg Wind Direction (°),Weather Code
2021-06-26,23.4,16.9,20.833333333333332,74.45833333333333,34.083333333333336,5.1,7.5,217.16666666666666,0.0
2021-06-27,24.6,18.7,21.879166666666666,76.75,71.16666666666667,10.1,6.8,230.20833333333334,51.0
2021-06-28,25.1,18.4,21.983333333333334,77.16666666666667,61.583333333333336,10.4,6.7,229.29166666666666,51.0
2021-06-29,25.1,16.8,20.554166666666667,75.83333333333333,55.166666666666664,24.099999999999998,7.0,213.66666666666666,51.0
2021-06-30,25.2,13.9,19.8125,52.875,15.75,0.0,9.4,281.5416666666667,0.0
2021-07-01,26.3,15.4,21.34166666666667,52.833333333333336,15.541666666666666,0.0,12.8,277.625,0.0
2021-07-02,26.1,15.2,21.95,54.791666666666664,39.375,0.0,9.2,214.41666666666666,0.0
2021-07-03,23.9,18.8,21.729166666666668,70.29166666666667,79.95833333333333,2.1,6.3,233.79166666666666,3.0
2021-07-04,24.2,17.0,20.670833333333334,70.41666666666667,63.833333333333336,3.1999999999999997,5.6,222.45833333333334,3.0
2021-07-05,26.2,15.2,21.508333333333336,63.25,26.791666666666668,0.0,9.7,223.66666666666666,0.0
2021-07-06,24.3,17.2,21.224999999999998,82.91666666666667,62.875,10.5,8.9,233.08333333333334,1.0
2021-07-07,23.7,18.4,21.2375,86.70833333333333,64.45833333333333,32.4,7.4,216.66666666666666,61.0
2021-07-08,23.5,15.4,20.0625,82.91666666666667,51.625,10.1,8.1,213.58333333333334,51.0
2021-07-09,24.1,13.7,19.670833333333334,62.291666666666664,14.583333333333334,0.0,9.1,220.375,0.0
2021-07-10,25.1,16.8,21.849999999999998,69.70833333333333,42.583333333333336,9.1,10.2,225.95833333333334,51.0
2021-07-11,25.4,14.3,21.279166666666665,72.04166666666667,1.5416666666666667,2.5,8.9,226.33333333333334,0.0
2021-07-12,24.6,17.9,21.520833333333332,81.5,78.25,30.0,9.6,217.54166666666666,3.0
2021-07-13,23.8,15.5,18.654166666666665,90.29166666666667,87.5,36.9,10.5,223.29166666666666,51.0
2021-07-14,21.2,15.0,18.333333333333332,78.95833333333333,68.79166666666667,9.5,6.7,198.91666666666666,51.0
2021-07-15,20.8,15.7,18.533333333333335,84.70833333333333,88.25,4.5,8.2,226.79166666666666,3.0
2021-07-16,21.9,15.8,18.908333333333335,81.83333333333333,60.041666666666664,10.4,6.1,247.125,1.0
2021-07-17,27.4,15.1,22.212500000000002,67.08333333333333,53.166666666666664,0.0,6.4,248.70833333333334,3.0
2021-07-18,29.2,18.9,25.2,61.75,23.0,0.30000000000000004,7.2,214.70833333333334,1.0
2021-07-19,26.7,20.8,23.870833333333334,76.83333333333333,38.666666666666664,4.8999999999999995,6.9,244.5,1.0
2021-07-20,27.0,19.5,23.933333333333334,73.25,26.791666666666668,1.5,6.0,220.54166666666666,0.0
2021-07-21,26.2,19.1,22.96666666666667,82.41666666666667,45.541666666666664,4.3,6.9,224.125,51.0
2021-07-22,26.1,18.2,22.429166666666664,86.83333333333333,51.75,10.6,8.3,210.83333333333334,51.0
2021-07-23,26.5,19.0,23.020833333333332,84.75,83.16666666666667,2.5,9.1,213.70833333333334,3.0
2021-07-24,24.0,19.3,22.008333333333336,88.70833333333333,92.33333333333333,47.6,9.0,233.5,61.0
2021-07-25,24.0,18.7,21.083333333333332,89.41666666666667,91.79166666666667,8.3,7.7,200.625,51.0
2021-07-26,23.3,16.7,20.170833333333334,88.25,80.625,20.8,6.9,205.04166666666666,3.0
2021-07-27,22.9,17.1,20.145833333333332,94.625,83.83333333333333,22.2,8.7,203.29166666666666,61.0
2021-07-28,24.2,17.0,20.770833333333332,93.08333333333333,66.54166666666667,4.3,6.9,213.58333333333334,51.0
2021-07-29,25.6,16.9,21.666666666666668,85.125,70.91666666666667,6.6,8.7,219.16666666666666,51.0
2021-07-30,25.4,18.3,22.729166666666668,82.41666666666667,59.083333333333336,4.0,6.6,232.95833333333334,3.0
2021-07-31,24.7,18.5,21.183333333333334,85.625,59.291666666666664,30.0,8.7,227.29166666666666,1.0
2021-08-01,23.5,16.1,19.516666666666666,79.04166666666667,45.416666666666664,12.6,7.2,227.125,0.0
2021-08-02,22.4,12.5,17.891666666666666,68.70833333333333,38.5,1.7,9.0,228.08333333333334,1.0
2021-08-03,21.9,14.4,18.733333333333334,81.45833333333333,58.0,5.7,7.8,224.375,51.0
2021-08-04,21.1,16.7,18.6125,90.0,89.25,9.8,6.4,205.70833333333334,51.0
2021-08-05,25.9,14.3,21.141666666666666,56.958333333333336,37.916666666666664,0.0,11.1,246.29166666666666,0.0
2021-08-06,24.6,16.1,20.679166666666667,68.58333333333333,24.791666666666668,0.0,9.7,227.70833333333334,0.0
2021-08-07,22.7,16.8,20.054166666666667,88.625,75.0,14.9,7.8,214.04166666666666,51.0
2021-08-08,25.2,12.9,20.2625,68.20833333333333,7.375,0.0,7.9,229.66666666666666,0.0
2021-08-09,25.2,14.1,20.508333333333333,70.41666666666667,7.833333333333333,0.1,8.2,232.79166666666666,0.0
